F,deg_slope,df_den,df_num,layer,p,partial_eta2,q_bh,significant_q05,test
0.10019714031985089,5.37733016741487,78,1,17,0.7524387818131335,0.0012829306965746867,0.8826130115451122,False,PT_deg_linear_trend
8.824761790282373,,75,4,17,6.79732090096313e-06,0.3200303907391255,1.0504950483306656e-05,True,IT_deg_categorical
15.83281836548348,33.92842718404252,78,1,17,0.00015387618641988463,0.16873433667753504,0.0008320227554956129,True,IT_deg_linear_trend
7.1986342262503396,,154,4,18,2.4331645507334628e-05,0.1575240562028718,0.0002757586490831258,True,deg_categorical_controlling_model
14.147497207593666,49.52437526031717,157,1,18,0.0002381583690831338,0.08266260061304569,0.0026984731176364074,True,deg_linear_trend_controlling_model
0.5702624113643855,,150,4,18,0.6846126726910169,0.014979208842914515,0.7483361812906533,False,model_by_deg_interaction
3.246538320218639,,75,4,18,0.016386585972919487,0.14759314729238585,0.11142878461585251,False,PT_deg_categorical
6.677489395448269,64.06779598899894,78,1,18,0.011630531097033657,0.07885790477636916,0.0913332645987129,False,PT_deg_linear_trend
9.28357940004367,,75,4,18,3.778374759847852e-06,0.33115925967089344,7.509386961032237e-06,True,IT_deg_categorical
15.73391692757369,34.9809545316354,78,1,18,0.00016070625595589034,0.16785724360298496,0.0008320227554956129,True,IT_deg_linear_trend
7.627390605053665,,154,4,19,1.2398981289681316e-05,0.16535491179980202,0.00021078268192458238,True,deg_categorical_controlling_model
15.016182134979909,52.24513586425487,157,1,19,0.00015623288545736703,0.08729517158564079,0.0026559590527752397,True,deg_linear_trend_controlling_model
0.5976407734749907,,150,4,19,0.6648960676792237,0.015687080914760756,0.7483361812906533,False,model_by_deg_interaction
3.4389921984420675,,75,4,19,0.012321471260707156,0.15498640802097924,0.10473250571601082,False,PT_deg_categorical
7.29088392853235,68.24273775982311,78,1,19,0.008496192910498458,0.0854825696805017,0.0913332645987129,False,PT_deg_linear_trend
9.534903578284007,,75,4,19,2.7485469818806564e-06,0.33710221255993666,7.188507491072486e-06,True,IT_deg_categorical
15.19945066702067,36.24753396868661,78,1,19,0.0002034266501686228,0.16308519587014167,0.0008320227554956129,True,IT_deg_linear_trend
2.413079349768558,,154,4,20,0.051370908814098774,0.05898063377579054,0.1091631812299599,False,deg_categorical_controlling_model
5.566982161138882,23.452041039152224,157,1,20,0.01953237367665005,0.034244236358037354,0.08301258812576272,False,deg_linear_trend_controlling_model
1.233349740435867,,150,4,20,0.2991775569933214,0.03184206242684726,0.42383487240720524,False,model_by_deg_interaction
0.09305598635505476,,75,4,20,0.9843771778962898,0.004938476350250192,0.998697367234306,False,PT_deg_categorical
0.35172044035460964,10.359812886586727,78,1,20,0.5548565526630251,0.00448899447743917,0.8826130115451122,False,PT_deg_linear_trend
9.381145650501395,,75,4,20,3.3383272743930257e-06,0.3334789761871711,7.509386961032237e-06,True,IT_deg_categorical
15.14511820385467,36.54426919171774,78,1,20,0.00020838085520561475,0.1625970152371111,0.0008320227554956129,True,IT_deg_linear_trend
7.873752856993308,,154,4,21,8.43185945684042e-06,0.16978899424582417,0.00021078268192458238,True,deg_categorical_controlling_model
15.711859427020945,55.313038886663605,157,1,21,0.00011173760220846427,0.09097151451640738,0.0026559590527752397,True,deg_linear_trend_controlling_model
0.6218112052855351,,150,4,21,0.647643486267605,0.01631116638024066,0.7483361812906533,False,model_by_deg_interaction
3.5933889996868764,,75,4,21,0.009805575436663263,0.16082560258594766,0.10473250571601082,False,PT_deg_categorical
7.672825037918954,72.25020203031735,78,1,21,0.007003390157116094,0.08955961280047608,0.0913332645987129,False,PT_deg_linear_trend
9.212031843809761,,75,4,21,4.138485606934863e-06,0.32944787042895535,7.509386961032237e-06,True,IT_deg_categorical
15.30679270700403,38.375875743009814,78,1,21,0.0001939928479114212,0.16404799975355958,0.0008320227554956129,True,IT_deg_linear_trend
2.3415289957893006,,154,4,22,0.057436320542624306,0.057332060120244485,0.11487264108524861,False,deg_categorical_controlling_model
5.219186734288868,22.606022486241635,157,1,22,0.02367847313784192,0.03217367094089659,0.08376338462723552,False,deg_linear_trend_controlling_model
1.80939443601956,,150,4,22,0.1299256640167141,0.04602956779109259,0.21035583697944188,False,model_by_deg_interaction
0.0338181791611841,,75,4,22,0.9977602064762564,0.0018003889751606556,0.998697367234306,False,PT_deg_categorical
0.12795209277211347,6.015722598510926,78,1,22,0.7215310268774625,0.0016377249031201827,0.8826130115451122,False,PT_deg_linear_trend
9.10083039581736,,75,4,22,4.769365915956938e-06,0.3267705223318628,7.721830530596947e-06,True,IT_deg_categorical
14.733219879161714,39.19632237397235,78,1,22,0.0002502308906541808,0.15887747560540003,0.0008320227554956129,True,IT_deg_linear_trend
3.1737124908798706,,154,4,23,0.015405172501513445,0.0761562217806831,0.05643143915523539,False,deg_categorical_controlling_model
3.728739718866779,23.333182780472892,157,1,23,0.05528545546373118,0.023198960717223174,0.14459272967437387,False,deg_linear_trend_controlling_model
3.544005700143469,,150,4,23,0.008556243688133399,0.08634648689104633,0.024242690449711297,True,model_by_deg_interaction
0.025643672862240556,,75,4,23,0.998697367234306,0.001365794606514884,0.998697367234306,False,PT_deg_categorical
0.05446836103519811,4.160621553477535,78,1,23,0.8160741912807743,0.0006978250211539295,0.8826130115451122,False,PT_deg_linear_trend
9.201119256039116,,75,4,23,4.196422125282721e-06,0.3291860755826843,7.509386961032237e-06,True,IT_deg_categorical
6.934333704877591,42.505744007468245,78,1,23,0.010191678658665222,0.0816434697536147,0.012833965718319169,True,IT_deg_linear_trend
2.1819632684618555,,154,4,24,0.07355900972146048,0.0536346600104571,0.13894479614053645,False,deg_categorical_controlling_model
0.3078412484430609,9.585427912417561,157,1,24,0.5797974974215432,0.0019569351788184157,0.673906199157294,False,deg_linear_trend_controlling_model
6.048361989392457,,150,4,24,0.00015381410536154024,0.13888839242370862,0.0013863456780345903,True,model_by_deg_interaction
3.018171889448614,,75,4,24,0.02299185294003981,0.13865068250915324,0.13028716666022558,False,PT_deg_categorical
0.913746497089901,-28.63277280953554,78,1,24,0.34207563654325457,0.01157905355721005,0.7290157498498446,False,PT_deg_linear_trend
9.125669064657092,,75,4,24,4.6203934501075685e-06,0.32737040476016105,7.721830530596947e-06,True,IT_deg_categorical
8.563750797291668,47.80362863437065,78,1,24,0.004490550590720754,0.09892998764974499,0.005872258464788679,True,IT_deg_linear_trend
3.9318143321843078,,154,4,25,0.0045559478636579215,0.09266194232005882,0.02304869937968366,True,deg_categorical_controlling_model
7.114527634302211,35.084795342892704,157,1,25,0.008447797977211,0.04335099236403722,0.04103216160359629,True,deg_linear_trend_controlling_model
3.11245008797999,,150,4,25,0.017063589236651043,0.07663783104041727,0.041440145289009675,True,model_by_deg_interaction
0.26239762737853256,,75,4,25,0.9011727705266457,0.013801395937599714,0.998697367234306,False,PT_deg_categorical
0.7746897792938033,17.238850224785818,78,1,25,0.3814739536022842,0.009834247287603196,0.7290157498498446,False,PT_deg_linear_trend
9.275556842310355,,75,4,25,3.81710358183593e-06,0.33096779823146955,7.509386961032237e-06,True,IT_deg_categorical
9.193795163520958,52.930740460999594,78,1,25,0.003295691459477955,0.10544093356963251,0.004482140384890019,True,IT_deg_linear_trend
1.1189670846877366,,154,4,26,0.3496553682540311,0.028243216999975857,0.45849212044287435,False,deg_categorical_controlling_model
0.4362009357935189,-15.503210384950021,157,1,26,0.5099296884357956,0.0027706520685888037,0.6253311418898578,False,deg_linear_trend_controlling_model
